,NIC_PT,NAME,NUI_PT,YEAR,AGECAT,SEXCAT,state
1029,798013,Arkansas,89397,2016,1,2,05
1036,696134,Arkansas,29252,2016,4,0,05
1040,30474373,California,2787305,2016,0,0,06
1041,15100347,California,1585157,2016,0,1,06
1042,15374026,California,1202148,2016,0,2,06
1043,21759308,California,2526628,2016,1,0,06
1044,10641567,California,1450378,2016,1,1,06
1045,11117741,California,1076250,2016,1,2,06
1052,9159230,California,293687,2016,4,0,06
1056,4293388,Colorado,401879,2016,0,0,08
1057,2147873,Colorado,229182,2016,0,1,08
1058,2145515,Colorado,172697,2016,0,2,08
1059,3098606,Colorado,351010,2016,1,0,08
1060,1534855,Colorado,204139,2016,1,1,08
1061,1563751,Colorado,146871,2016,1,2,08
1068,1250761,Colorado,56129,2016,4,0,08
1072,2748163,Connecticut,168258,2016,0,0,09
1073,1354705,Connecticut,93053,2016,0,1,09
1074,1393458,Connecticut,75205,2016,0,2,09
1075,2023526,Connecticut,148113,2016,1,0,09
1076,983740,Connecticut,83198,2016,1,1,09
1077,1039786,Connecticut,64915,2016,1,2,09
1084,765539,Connecticut,22352,2016,4,0,09
1088,711795,Delaware,51494,2016,0,0,10
1089,344374,Delaware,29112,2016,0,1,10
1090,367421,Delaware,22382,2016,0,2,10
1091,517886,Delaware,44760,2016,1,0,10
1092,245864,Delaware,25552,2016,1,1,10
1093,272022,Delaware,19208,2016,1,2,10
1100,203727,Delaware,7417,2016,4,0,10
1104,546995,District of Columbia,23274,2016,0,0,11
1105,262077,District of Columbia,13187,2016,0,1,11
1106,284918,District of Columbia,10087,2016,0,2,11
1107,431333,District of Columbia,20540,2016,1,0,11
1108,203961,District of Columbia,11792,2016,1,1,11
1109,227372,District of Columbia,8748,2016,1,2,11
1116,120639,District of Columbia,2996,2016,4,0,11
1120,13664572,Florida,2478194,2016,0,0,12
1121,6630636,Florida,1338124,2016,0,1,12
1122,7033936,Florida,1140070,2016,0,2,12
1123,9845200,Florida,2226550,2016,1,0,12
1124,4680280,Florida,1209027,2016,1,1,12
1125,5164920,Florida,1017523,2016,1,2,12
1132,4009046,Florida,282464,2016,4,0,12
1136,7410654,Georgia,1295994,2016,0,0,13
1137,3581006,Georgia,683414,2016,0,1,13
1138,3829648,Georgia,612580,2016,0,2,13
1139,5100985,Georgia,1138593,2016,1,0,13
1140,2403300,Georgia,602349,2016,1,1,13
1141,2697685,Georgia,536244,2016,1,2,13
1148,2421036,Georgia,172912,2016,4,0,13
1152,1107015,Hawaii,48641,2016,0,0,15
1153,559123,Hawaii,26758,2016,0,1,15
1154,547892,Hawaii,21883,2016,0,2,15
1155,807468,Hawaii,41900,2016,1,0,15
1156,404286,Hawaii,23426,2016,1,1,15
1157,403182,Hawaii,18474,2016,1,2,15
1164,312834,Hawaii,7542,2016,4,0,15
1168,1236981,Idaho,165164,2016,0,0,16
1169,618671,Idaho,87727,2016,0,1,16
1170,618310,Idaho,77437,2016,0,2,16
1171,825748,Idaho,145559,2016,1,0,16
1172,407903,Idaho,77718,2016,1,1,16
1173,417845,Idaho,67841,2016,1,2,16
1180,430410,Idaho,21452,2016,4,0,16
1184,9890849,Illinois,801267,2016,0,0,17
1185,4868121,Illinois,460297,2016,0,1,17
1186,5022728,Illinois,340970,2016,0,2,17
1187,7080668,Illinois,730323,2016,1,0,17
1188,3432083,Illinois,423927,2016,1,1,17
1189,3648585,Illinois,306396,2016,1,2,17
1196,2954118,Illinois,79724,2016,4,0,17
1200,4963779,Indiana,518435,2016,0,0,18
1201,2451814,Indiana,286488,2016,0,1,18
1202,2511965,Indiana,231947,2016,0,2,18
1203,3509667,Indiana,430516,2016,1,0,18
